identifier,text,fr,es-ES,es-419,de,it,ja,ko,pl,pt-PT,pt-BR,ru,tr,zh-CN,zh-TW
RESULTS_MEDAL_DEV,You got a Secret Ace medal!,,,,,,,,,,,,,,
RESULTS_MEDAL_EMERALD,You got an Emerald medal!,,¡Tienes una medalla de esmeralda!,¡Tienes una medalla de esmeralda!,Du hast eine Smaragd-Medaille erhalten!,,エメラルドメダルを入手！,,Zdobywasz Szamargowy medal!!,,Você recebeu uma medalha de Esmeralda!,,,,
RESULTS_MEDAL_AMETHYST,You got an Amethyst medal!,,¡Tienes una medalla de amatista!,¡Tienes una medalla de amatista!,Du hast eine Amethyst-Medaille erhalten!,,アメジストメダルを入手！,,Zdobywasz Ametystowy medal!!,,Você recebeu uma medalha de Ametista!,,,,
RESULTS_MEDAL_SAPPHIRE,You got a Sapphire medal!,,¡Tienes una medalla de zafiro!,¡Tienes una medalla de zafiro!,Du hast eine Saphir-Medaille erhalten!,,サファイアメダルを入手！,,Zodbywasz Szafirowy medal!!,,Você recebeu uma medalha de Safira!,,,,
RESULTS_MEDAL_MODDED_INSIGHT,Modded medals unlock Insight level 4,,Medallas de NeonLite conseguida y desbloqueado el nivel de conocimiento 4,Medallas de NeonLite conseguida y desbloqueado el nivel de conocimiento 4,NeonLite Medaillien schalten Einsichtslevel 4 frei,,ネオンライトメダルでインサイトレベル4をアンロック,,Zmodyfikowane medale odblokowują poziom 4 Wiedzy,,As medalhas do NeonLite desbloqueiam o Nível de Insight 4,,,,
RESULTS_NEWBEST_WR,World Record!,,,,,,,,,,,,,,
BUTTON_COPYPBS,Copy All PB Times,,Copiar Mis Tiempos,Copiar Mis Tiempos,Kopiere deine PB - Zeiten,,全レベルの自己ベストタイムをコピーする,,Skopiuj swoje najlepsze wyniki,,Copiar Todos os PBs,,,,
BUTTON_COPIED,Copied!,,¡Copiado!,¡Copiado!,Kopiert,,コピーしました！,,Skopiowano!,,Copiados!,,,,
BUTTON_GHOSTDIRECTORY,Open Ghost Directory,,Abrir Ubicación del Fantasma,Abrir Ubicación del Fantasma,Öffne Ghost Ordner,,Ghostフォルダを開く,,Otwórz katalog z duchami,,Abrir Diretório de Fantasmas,,,,
DNF,DNF: {0},,,,,,,,,,,,,,
